table,item,rarity,value
uniques,Black platebody (t),1/1168,22780
uniques,Black platelegs (t),1/1168,11672
uniques,Black full helm (t),1/1168,19919
uniques,Black kiteshield (t),1/1168,18454
uniques,Black platebody (g),1/1168,46339
uniques,Black platelegs (g),1/1168,27827
uniques,Black full helm (g),1/1168,39155
uniques,Black kiteshield (g),1/1168,29180
uniques,Highwayman mask,1/1168,930484
uniques,Blue beret,1/1168,851286
uniques,Black beret,1/1168,872501
uniques,White beret,1/1168,897652
uniques,Black plateskirt (t),1/1168,13905
uniques,Black plateskirt (g),1/1168,10673
uniques,Black shield (h1),1/1168,1007758
uniques,Black shield (h2),1/1168,922356
uniques,Black shield (h3),1/1168,947882
uniques,Black shield (h4),1/1168,935035
uniques,Black shield (h5),1/1168,1002057
uniques,Studded body (g),1/1168,799322
uniques,Studded body (t),1/1168,860018
uniques,Studded chaps (g),1/1168,816154
uniques,Studded chaps (t),1/1168,824363
uniques,Wizard robe skirt (g),1/1168,806609
uniques,Wizard robe skirt (t),1/1168,833100
uniques,Wizard robe top (g),1/1168,821250
uniques,Wizard robe top (t),1/1168,847241
uniques,Wizard hat (g),1/1168,868060
uniques,Wizard hat (t),1/1168,814001
uniques,Black helm (h1),1/1168,1019359
uniques,Black helm (h2),1/1168,962889
uniques,Black helm (h3),1/1168,957048
uniques,Black helm (h4),1/1168,903439
uniques,Black helm (h5),1/1168,902598
uniques,Bob shirt (red),1/1168,899087
uniques,Bob shirt (green),1/1168,903730
uniques,Bob shirt (blue),1/1168,899112
uniques,Bob shirt (black),1/1168,893551
uniques,Bob shirt (purple),1/1168,897020
uniques,Powdered wig,1/1168,865279
uniques,Flared trousers,1/1168,886992
uniques,Pantaloons,1/1168,813094
uniques,Sleeping cap,1/1168,869830
uniques,Red elegant shirt,1/2336,958447
uniques,Red elegant blouse,1/2336,946935
uniques,Red elegant legs,1/2336,962295
uniques,Red elegant skirt,1/2336,954349
uniques,Green elegant shirt,1/2336,921891
uniques,Green elegant blouse,1/2336,993715
uniques,Green elegant legs,1/2336,916604
uniques,Green elegant skirt,1/2336,951527
uniques,Blue elegant shirt,1/2336,959321
uniques,Blue elegant blouse,1/2336,992719
uniques,Blue elegant legs,1/2336,950749
uniques,Blue elegant skirt,1/2336,937678
uniques,Saradomin robe top,1/1168,945017
uniques,Saradomin robe legs,1/1168,934763
uniques,Guthix robe top,1/1168,897219
uniques,Guthix robe legs,1/1168,898222
uniques,Zamorak robe top,1/1168,901503
uniques,Zamorak robe legs,1/1168,916772
uniques,Black cane,1/1168,865415
uniques,Black platebody (h1),1/1168,1007151
uniques,Black platebody (h2),1/1168,1032478
uniques,Black platebody (h3),1/1168,1003666
