table,item,rarity,value
uniques,Robin Hood hat,1/1544,829939
uniques,Rune platebody (t),1/1544,38589
uniques,Rune platelegs (t),1/1544,33493
uniques,Rune kiteshield (t),1/1544,30536
uniques,Rune full helm (t),1/1544,19386
uniques,Rune platebody (g),1/1544,33696
uniques,Rune platelegs (g),1/1544,34506
uniques,Rune kiteshield (g),1/1544,32185
uniques,Rune full helm (g),1/1544,43318
uniques,Rune platebody (Zamorak),1/1544,72880
uniques,Rune platelegs (Zamorak),1/1544,47020
uniques,Rune kiteshield (Zamorak),1/1544,35835
uniques,Rune full helm (Zamorak),1/1544,62000
uniques,Rune platebody (Guthix),1/1544,145620
uniques,Rune platelegs (Guthix),1/1544,39245
uniques,Rune kiteshield (Guthix),1/1544,27866
uniques,Rune full helm (Guthix),1/1544,62828
uniques,Rune platebody (Saradomin),1/1544,57595
uniques,Rune platelegs (Saradomin),1/1544,61212
uniques,Rune kiteshield (Saradomin),1/1544,37328
uniques,Rune full helm (Saradomin),1/1544,43535
uniques,Tan cavalier,1/1544,747376
uniques,Dark cavalier,1/1544,805523
uniques,Black cavalier,1/1544,754292
uniques,Pirate's hat,1/1544,800262
uniques,Rune plateskirt (g),1/1544,34915
uniques,Rune plateskirt (t),1/1544,36706
uniques,Rune plateskirt (Zamorak),1/1544,33832
uniques,Rune plateskirt (Saradomin),1/1544,34553
uniques,Rune plateskirt (Guthix),1/1544,36817
uniques,Rune shield (h1),1/1544,896964
uniques,Rune shield (h2),1/1544,871225
uniques,Rune shield (h3),1/1544,880819
uniques,Rune shield (h4),1/1544,879028
uniques,Rune shield (h5),1/1544,915298
uniques,Blue dragonhide body (g),1/1544,755281
uniques,Blue dragonhide body (t),1/1544,783874
uniques,Blue dragonhide chaps (t),1/1544,750138
uniques,Blue dragonhide chaps (g),1/1544,735937
uniques,Enchanted hat,1/1544,813310
uniques,Enchanted top,1/1544,757067
uniques,Enchanted robe,1/1544,743524
uniques,Rune helm (h1),1/1544,916884
uniques,Rune helm (h2),1/1544,895228
uniques,Rune helm (h3),1/1544,891727
uniques,Rune helm (h4),1/1544,895007
uniques,Rune helm (h5),1/1544,931616
uniques,Amulet of glory (t4),1/1544,739705
uniques,Blessed dragonhide vambraces (Saradomin),1/1544,832070
uniques,Blessed dragonhide body (Saradomin),1/1544,909519
uniques,Blessed dragonhide chaps (Saradomin),1/1544,864930
uniques,Blessed dragonhide coif (Saradomin),1/1544,884226
uniques,Blessed dragonhide vambraces (Guthix),1/1544,887555
uniques,Blessed dragonhide body (Guthix),1/1544,869563
uniques,Blessed dragonhide chaps (Guthix),1/1544,883526
uniques,Blessed dragonhide coif (Guthix),1/1544,881236
uniques,Blessed dragonhide vambraces (Zamorak),1/1544,875361
uniques,Blessed dragonhide body (Zamorak),1/1544,911720
uniques,Blessed dragonhide chaps (Zamorak),1/1544,889102
uniques,Blessed dragonhide coif (Zamorak),1/1544,865906
uniques,Saradomin stole,1/1544,757131
uniques,Saradomin crozier,1/1544,760935
uniques,Guthix stole,1/1544,758534
uniques,Guthix crozier,1/1544,775564
uniques,Zamorak stole,1/1544,758506
uniques,Zamorak crozier,1/1544,752232
uniques,Rune cane,1/1544,770257
uniques,Top hat,1/1544,768237
uniques,Rune platebody (h1),1/1544,1026259
uniques,Rune platelegs (h1),1/1544,1020446
uniques,Rune plateskirt (h1),1/1544,1012631
uniques,Rune platebody (h2),1/1544,1017808
uniques,Rune platelegs (h2),1/1544,1016240
uniques,Rune plateskirt (h2),1/1544,1001868
uniques,Rune platebody (h3),1/1544,1021750
uniques,Rune platelegs (h3),1/1544,970824
uniques,Rune plateskirt (h3),1/1544,997124
uniques,Rune platebody (h4),1/1544,1002883
uniques,Rune platelegs (h4),1/1544,1006062
uniques,Rune plateskirt (h4),1/1544,1007762
uniques,Rune platebody (h5),1/1544,982227
uniques,Rune platelegs (h5),1/1544,1012860
uniques,Rune plateskirt (h5),1/1544,1000978
uniques,Armadyl cloak,1/1544,819680
uniques,Bandos cloak,1/1544,807261
uniques,Ancient cloak,1/1544,816318
uniques,Armadyl mitre,1/1544,854360
uniques,Bandos mitre,1/1544,841015
uniques,Ancient mitre,1/1544,892016
uniques,Amulet of fury (t),1/1544,1261169
uniques,Fox mask,1/4633,984709
uniques,White unicorn mask,1/4633,1005204
uniques,Black unicorn mask,1/4633,968524
uniques,Green dragon mask,1/4633,1017381
uniques,Blue dragon mask,1/4633,998137
uniques,Red dragon mask,1/4633,985604
uniques,Sack of effigies,1/46327,2196836
uniques,Explosive barrel,1/191699,43415769
uniques,Coins (25k),1/1611,25000
uniques,Backstab cape,1/23164,1828978
uniques,Coins (10k),1/1655,10000
uniques,Shadow dye,1/15442,684778304
uniques,Barrows dye,1/8579,60141293
uniques,Coins (20k),1/2145,20000
uniques,Rune platebody (Gilded),1/16987,715862
uniques,Rune platelegs (Gilded),1/16987,281147
uniques,Rune plateskirt (Gilded),1/16987,85887
uniques,Rune full helm (Gilded),1/16987,201822
uniques,Rune kiteshield (Gilded),1/16987,259326
uniques,Super attack (4),1/16987,33075
uniques,Super defence (4),1/16987,46270
uniques,Super strength (4),1/16987,54810
uniques,Super energy (4),1/16987,118590
uniques,Super restore (4),1/16987,37425
uniques,Antifire (4),1/16987,156510
uniques,Starved ancient effigy,1/16987,0
uniques,Coins (2.5k),1/16987,2500
uniques,Third age ranger coif,1/203840,199489831
uniques,Third age ranger body,1/203840,199857602
uniques,Third age ranger chaps,1/203840,200681363
uniques,Third age vambraces,1/203840,200749005
uniques,Third age robe top,1/203840,205211691
uniques,Third age robe,1/203840,199316583
uniques,Third age mage hat,1/203840,205476067
uniques,Third age amulet,1/203840,390002424
uniques,Third age platelegs,1/203840,705854140
uniques,Third age platebody,1/203840,402157703
uniques,Third age full helmet,1/203840,216809484
uniques,Third age kiteshield,1/203840,218770719
uniques,Re-roll token (hard),1/1544,0
commons,Coins,1/20,20000
commons,Law rune,1/20,32175
commons,Blood rune,1/20,28275
commons,Nature rune,1/20,30525
commons,Astral rune,1/20,38550
commons,Mahogany plank,1/20,32256
commons,Huge plated rune salvage,1/20,37896
