table,item,rarity,value
commons,Wine of Zamorak,1/36,1414
commons,Wine of Saradomin,1/36,69214
commons,Weapon poison++ (4),1/18,63520
commons,Prayer renewal (4),1/18,85124
commons,Runite stone spirit,1/18,12411
commons,Hydrix bolt tips,1/18,195150
commons,Water talisman,1/18,5630
commons,Onyx bolt tips,1/18,198225
commons,Palm tree seed,1/18,826
commons,Golden dragonfruit seed,1/18,2057
commons,Coins,1/18,100000
commons,Battlestaff,1/18,76545
commons,Crystal key,1/18,33972
commons,Dragon arrowheads,1/18,24200
commons,Huge plated rune salvage,1/18,37896
commons,Carambola seed,1/18,13482
commons,Mahogany plank,1/18,80640
commons,Dragon helm,1/18,58029
commons,Uncut dragonstone,99/1800,11154
commons,Uncut onyx,1/1800,1071315
shared,Saradomin page 1,1/408,15850-47550
shared,Saradomin page 2,1/408,11832-35496
shared,Saradomin page 3,1/408,14835-44505
shared,Saradomin page 4,1/408,16324-48972
shared,Zamorak page 1,1/408,17049-51147
shared,Zamorak page 2,1/408,13315-39945
shared,Zamorak page 3,1/408,14200-42600
shared,Zamorak page 4,1/408,16596-49788
shared,Guthix page 1,1/408,20488-61464
shared,Guthix page 2,1/408,17642-52926
shared,Guthix page 3,1/408,18161-54483
shared,Guthix page 4,1/408,18758-56274
shared,Armadyl page 1,1/408,28268-84804
shared,Armadyl page 2,1/408,21417-64251
shared,Armadyl page 3,1/408,23416-70248
shared,Armadyl page 4,1/408,28349-85047
shared,Ancient page 1,1/408,9472-28416
shared,Ancient page 2,1/408,7325-21975
shared,Ancient page 3,1/408,8545-25635
shared,Ancient page 4,1/408,6905-20715
shared,Bandos page 1,1/408,4370-13110
shared,Bandos page 2,1/408,4135-12405
shared,Bandos page 3,1/408,5630-16890
shared,Bandos page 4,1/408,3928-11784
shared,Red firelighter,1/102,23790-38064
shared,Green firelighter,1/102,22725-36360
shared,Blue firelighter,1/102,14325-22920
shared,Purple firelighter,1/102,14070-22512
shared,White firelighter,1/102,17280-27648
shared,Guido's bonfire in a bottle,1/102,24345-48690
shared,Purple sweets,1/17,30225-58435
shared,Holy biscuits,1/17,180-348
shared,Pollnivneach Teleport,1/17,5140-10280
shared,Bandit Camp Teleport,1/34,9765-19530
