table,item,rarity,value
uniques,Ranger boots,1/994,1236464
uniques,Wizard boots (t),1/994,904916
uniques,Adamant platebody (t),1/994,14218
uniques,Adamant platelegs (t),1/994,13951
uniques,Adamant kiteshield (t),1/994,14656
uniques,Adamant full helm (t),1/994,12707
uniques,Adamant platebody (g),1/994,43408
uniques,Adamant platelegs (g),1/994,20307
uniques,Adamant kiteshield (g),1/994,19191
uniques,Adamant full helm (g),1/994,31823
uniques,Red headband,1/994,908123
uniques,Black headband,1/994,898270
uniques,Brown headband,1/994,912319
uniques,Adamant plateskirt (t),1/994,8407
uniques,Adamant plateskirt (g),1/994,11473
uniques,Adamant shield (h1),1/994,995266
uniques,Adamant shield (h2),1/994,990336
uniques,Adamant shield (h3),1/994,1001279
uniques,Adamant shield (h4),1/994,988412
uniques,Adamant shield (h5),1/994,975301
uniques,Red boater,1/994,970798
uniques,Green boater,1/994,895258
uniques,Orange boater,1/994,892353
uniques,Black boater,1/994,949938
uniques,Blue boater,1/994,951550
uniques,Green dragonhide body (g),1/994,905229
uniques,Green dragonhide body (t),1/994,895241
uniques,Green dragonhide chaps (g),1/994,904348
uniques,Green dragonhide chaps (t),1/994,888132
uniques,Adamant helm (h1),1/994,1183129
uniques,Adamant helm (h2),1/994,1019360
uniques,Adamant helm (h3),1/994,963905
uniques,Adamant helm (h4),1/994,959210
uniques,Adamant helm (h5),1/994,973281
uniques,Saradomin mitre,1/994,943581
uniques,Saradomin cloak,1/994,1128682
uniques,Guthix mitre,1/994,924880
uniques,Guthix cloak,1/994,913776
uniques,Zamorak mitre,1/994,901035
uniques,Zamorak cloak,1/994,961354
uniques,Adamant cane,1/994,907644
uniques,Pith helmet,2/994,843308
uniques,Purple elegant shirt,1/1988,984608
uniques,Purple elegant blouse,1/1988,974546
uniques,Purple elegant legs,1/1988,960261
uniques,Purple elegant skirt,1/1988,997441
uniques,Black elegant shirt,1/1988,1115405
uniques,White elegant blouse,1/1988,1015252
uniques,Black elegant legs,1/1988,1116608
uniques,White elegant skirt,1/1988,1040616
uniques,Adamant platebody (h1),1/994,1158653
uniques,Adamant platebody (h2),1/994,1101581
uniques,Adamant platebody (h3),1/994,1043069
uniques,Adamant platebody (h4),1/994,1079297
uniques,Adamant platebody (h5),1/994,1053701
uniques,Adamant platelegs (h1),1/994,1058533
uniques,Adamant platelegs (h2),1/994,1056338
uniques,Adamant platelegs (h3),1/994,1034317
uniques,Adamant platelegs (h4),1/994,1030824
uniques,Adamant platelegs (h5),1/994,1017808
uniques,Adamant plateskirt (h1),1/994,1020639
uniques,Adamant plateskirt (h2),1/994,1013934
uniques,Adamant plateskirt (h3),1/994,1019586
uniques,Adamant plateskirt (h4),1/994,1008463
uniques,Adamant plateskirt (h5),1/994,1013877
uniques,Armadyl robe top,1/994,969974
uniques,Ancient robe top,1/994,933510
uniques,Bandos robe top,1/994,950826
uniques,Armadyl robe legs,1/994,932349
uniques,Bandos robe legs,1/994,934994
uniques,Ancient robe legs,1/994,963219
uniques,Sheep mask,1/4970,1215491
uniques,Penguin mask,1/4970,1329269
uniques,Bat mask,1/4970,1425299
uniques,Cat mask,1/4970,1468969
uniques,Wolf mask,1/4970,1333284
uniques,Blue checkered shirt,1/2982,1370118
uniques,Green checkered shirt,1/2982,1334899
uniques,Purple checkered shirt,1/2982,1294175
uniques,Briefcase,1/1988,1524345
uniques,Off-hand briefcase,1/1988,1441572
uniques,Strength amulet (t),1/290,825949
commons,Coins,1/29,10000
commons,Air rune,1/29,4800
commons,Fire rune,1/29,11700
commons,Water rune,1/29,7500
commons,Earth rune,1/29,3900
commons,Mind rune,1/29,2400
commons,Death rune,1/29,3000
commons,Law rune,1/29,11520
commons,Nature rune,1/29,12000
commons,Pure essence,1/29,6300
commons,Teak plank,1/29,936
commons,Huge plated adamant salvage,1/29,13483
commons,Small bladed adamant salvage,1/29,3847
commons,Small plated adamant salvage,1/29,2380
commons,Medium plated adamant salvage,2/29,3814
commons,Medium bladed adamant salvage,1/29,4184
commons,Adamant arrow,1/29,5200
commons,Water battlestaff,1/29,7392
